Reference,Prediction
tʰi˩˥|zo˩no˥|hĩ˧mo˥hĩ˩|ʈʂʰɯ˧ne˧ʝi˥|pi˧kv̩˩mæ˩|mɤ˧dɑ˩|ə˧pɤ˧ɖɯ˩ɳɯ˩|le˧pi˧ɲi˥|qʰv̩˩tsʰi˧kʰv̩˥gv̩˩dʑo˩|tsʰi˧si˩dʑɤ˩pv̩˩|ɖʐe˧lɑ˧ʝi˥ze˩|zo˩no˥|no˧sɯ˩kv̩˩|ɖʐe˧mɤ˧ʝi˩|pi˧kv̩˩mæ˩|njɤ˧hĩ˧mo˥ɻæ˩ɳɯ˩|,t[UNK]i˩˥ zo˩no˥ hi[UNK]˧mo˥hɻ[UNK]˩ pi˧k[UNK]˩ mɤ˧dɑ˩ ə˧pɤ˥ɖɯ˩ɳɯ˩ le˧ti˧ɲi˥ q[UNK]v[UNK]˩ts[UNK]i˧k[UNK]ɯ˥gv[UNK]˩dʑo˩ si˧sɯ˩ dʑɤ˩pv[UNK]˩ dʑɯ˧ hi[UNK]˧lɑ˧ʝi˥ze˩ zo˩no˥ no˧sɯ˩kv[UNK]˩ɖʐɤ˩mɤ˩ʝi˩ pi˧kv[UNK]˩mæ˩ njæ˧ hi[UNK]˧mo˥ɻæ˩ɳɯ˩
ə˧ʝi˧tsʰi˧ʝi˧dʑo˩|nɑ˩dʑi˧hṽ̩˧|mɤ˧mv̩˧ze˧|,ə˧ʝi˧ts[UNK]i˧ʝi˧dʑo˩ nɑ˩dʑo˥hv[UNK] mɤ˧mv[UNK]˩ze˧
kʰv̩˩mi˩ɳɯ˥|ɖɯ˧tsʰo˧ɳɯ˧|ʈʂʰɯ˧|ɑ˩ʁo˧hɯ˧dʑo˥|tse˩ʈʂʰv̩˩kʰv̩˥|no˧|mv̩˩tɕo˧se˧|pi˧tsɯ˩|mv̩˩|tʰi˩˥|,k[UNK]v[UNK]˩mi˩ɳɯ˥ ɖɯ˧ts[UNK]o˧ɳɯ˧ ʈʂ[UNK]ɯ˧ ɑ˩ʁo˧hɯ˥dʑo˩ tse˩ʈʂ[UNK]ɯ˩k[UNK]v[UNK]˥ no˧ mv[UNK]˩tɕo˧se˥ pi˧tsɯ˩ mv[UNK]˩t[UNK]i˩˥
ʈʂʰɯ˧ne˧ʝi˥|le˧tɕɯ˧ɭɯ˧|le˧tɕɯ˧ɭɯ˧|ʈʂʰɯ˧ne˧ʝi˥|le˧jɤ˩|,ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧tɕɯ˧˥le˧ ts[UNK]ɯ˧hi[UNK]˥ le˧ʝi˩
kʰv̩˧mæ˥ʂæ˩ɖɯ˩kʰv̩˩dʑo˩|hõ˧ɬi˧mi˧|gv̩˩ɬi˩mi˩qo˥|mo˧ʈʂʰɯ˥|ɖɯ˧pi˧˥|dʑo˧kv̩˧˥|mv̩˩|,k[UNK]v[UNK]˧mæ˥ʂæ˩ɖɯ˩k[UNK]v[UNK]˩˥ dʑo˩ ho[UNK]˧ɬi˧mi˧ gv[UNK]˩ɬi˩mi˩qo˥ mo˧ʈʂ[UNK]ɯ˥ ɖɯ˧pi˧˥ dʑo˩kv[UNK]˧˥ mæ˩
ʈʂʰɯ˧sɬi˧di˩di˩mi˩qo˩dʑo˩|ʈʂʰɯ˧so˧ɭɯ˧|ɖwæ˧˥|ɖɯ˩ʈʂɤ˩kv̩˥mæ˩|,ts[UNK]e˧ʂɬi˧di˩di˩mi˩qo˩dʑo˩ ʈʂ[UNK]ɯ˧ so˧ɭɯ˧ ɖwæ˧˥ ɖɯ˧ʈʂɤ˧kv[UNK]˥ mæ˩
əəə…õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩|kʰɤ˧qo˥ɳɯ˩|ɖɯ˧kʰɤ˧ɖɯ˥kʰɤ˩le˩kʰɯ˩kʰɯ˩|,əə[UNK] o[UNK]˧ʈʂ[UNK]ɯ˧ne˧ʝi˥zo˩ k[UNK]ɤ˧qo˥ɳɯ˩ ɖɯ˧k[UNK]ɤ˧ɖɯ˥k[UNK]ɤ˩le˩k[UNK]ɯ˩k[UNK]ɯ˩
njɤ˧mv̩˩|no˧|ə˧ʑi˧lɑ˥|ə˧pʰv̩˧ki˧|lebi˩tsæ˩ɲi˩|ɖwæ˩mɤ˧zo˧wɤ˧|pi˧ni˩zo˩|,njɤ˧mv[UNK]˩ no˧ ə˧ʑi˧lɑ˥ ə˧p[UNK]v[UNK]˧ki˧ le˧bi˩ts[UNK]ɯ˩hi[UNK]˩ ɖwæ˩mɤ˧zo˧ pi˧ni˩ ə˧zo˩
dʑi˧mi˧|gv̩˧wo˥pi˩kv̩˩mæ˩|,dʑi˧mi˧gv[UNK]˧wo˥ pi˧kv[UNK]˩mæ˩
tʰi˩˥|nɑ˩bɤ˧ʁɑ˧ɭɯ˧|tʰv̩˧qo˧ɳɯ˧dʑo˥|ə˩gi˩|mmm…zo˧mv̩˧˥|le˧pɤ˥pɤ˩|po˧bi˥|,t[UNK]i˩˥ nɑ˩bɤ˧ ʁɑ˧ɭɯ˧ t[UNK]i˧qo˧ɳɯ˧dʑo˥ ə˩gi˩ m[UNK]zo˧mv[UNK]˥ le˧pɤ˧ pɤ˩ po˩bi˥
bo˩ʈʂʰæ˧ɖɯ˧ɭɯ˧|ʈʂʰɯ˧dʑəəə…ʈʂʰɯ˧|ɖɯ˧ʈæ˧bɤ˧ki˧ki˩lɑ˩lv̩˩kv̩˩|,bo˩ʈʂ[UNK]æ˧ ɖɯ˧ɭɯ˧ ʈʂ[UNK]ɯ˧zeə[UNK] ʈʂ[UNK]ɯ˧ ʈæ˧bɤ˧ki˧ki˩lɑ˩ɭvɯ[UNK]˩kv[UNK]˩
ə˧ʝi˧ʂɯ˥ʝi˩pi˩hĩ˩tɕɤ|gɤ˩ʈʂʰɯ˧qo˧|pi˧|wɤ˩˥|njɤ˧|ə˧si˧ɳɯ˧|lo˧ɲi˥|ʈʂʰɯ˧ne˧ʝi˥|mæ˧kv̩˧˥|mv̩˩,ə˧ʝi˧ʂɯ˥ʝi˩ pi˧h[UNK]˩ tɕo˩ gɤ˩ ʈʂ[UNK]ɯ˧qo˩pi˩ wɤ˩˥ njɤ˧ ə˧si˧nv[UNK]˧lo˧ɲi˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ mɤ˧kv[UNK]˥mæ˩
zo˩no˥|əəə…zo˩no˥|ə˧ʝi˧tsʰi˧ʝi˧|tje˩ʂɯ˧qo˥gɤ˩|mv̩˧ni˧˥|hæ̃˩bɑ˥lɑ˩|ʂæ˧tsɯ˧tʰv̩˧ʁo˥|,zo˩no˥ ʈni˧ zo˩no˥ ə˧ʝi˧ts[UNK]i˧ʝi˧ t[UNK]i˩˥ ʈʂ[UNK]ɯ˧qo˧gɤ˩ mv[UNK]˩ni˩˥ hæ[UNK]˧bɑ˧lɑ˩ ʂæ˩tsɯ˩t[UNK]v[UNK]˩ʁo˩
tʰi˩˥|ʈʂʰɯ˧gi˧se˥dʑo˩|tʰi˩˥|go˧mi˧ʈʂʰɯ˧|le˧ʂɯ˧|ɑ̃,t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ gi˧se˥dʑo˩ t[UNK]i˩˥ go˧mi˧ʈʂ[UNK]ɯ˧ le˧ʂɯ˧ o[UNK]˧
no˧|ʈʂʰɯ˧bæ˧ʝi˧|njɤ˧|ʈʂʰɯ˧bæ˧ʝi˧|pi˧|hĩ˧ʈʂʰɯ˧|ɖɯ˧ʁwɤ˧|ɖɯ˧ki˧dzi˧˥|hɑ˧ɖɯ˧v̩˧|tʰi˧tɕɤ˩|,no˧ ʈʂ[UNK]ɯ˧bæ˧ʝi˧ njɤ˧ ʈʂ[UNK]ɯ˧pæ˧ʝi˧ pi˧ hi[UNK]˧ʈʂ[UNK]ɯ˧ ɖɯ˧ʁwɤ˥ ɖɯ˧ki˧dzi˧˥ hɑ˧ ɖɯ˧lv[UNK]˧ t[UNK]i˩tɕɤ˩
tʰi˩˥|njɤ˧ɻ̍˩ɳɯ˩|hĩ˧ʂɯ˧pi˧dʑo˩|tʰi˩˥|go˧mi˧|hĩ˧ki˧ki˩|pi˧dʑo˩|tʰi˩˥|njæ˧sɯ˩kv̩˩|bo˩ʈʂʰæ˧|po˧mɤ˥kv̩˩mæ˩|,t[UNK]i˩˥ə[UNK]njɤ˧ɻ[UNK]˩ɳɯ˩ hi[UNK]˧ʂe˧ pi˧dʑo˩ t[UNK]i˩˥ go˧mi˧ hi[UNK]˧ki˧ki˩ pi˧dʑo˩ t[UNK]i˩˥ njæ˧sɯ˩kv[UNK]˩ bo˩ʈʂ[UNK]æ˧ po˧mɤ˥kv[UNK]˩mæ˩
əəə…se˧pʰɤ˧mɤ˧ɖo˧pi˥|zo˩no˥|,əə[UNK]se˧p[UNK]wɤ˧mɤ˧ɖo˧pi˧ zo˩no˧
hĩ˧ɖɯ˧ʑi˩ɳɯ˩|hĩ˧ɖɯ˧v̩˧jo˧|,hi[UNK]˧ ɖɯ˧ʑi˩ɳɯ˩ hi[UNK]˧ ɖɯ˧v[UNK]˧jo˧
õ˧˥|ʈʂʰɯ˧ʁo˥lɑ˩dʑo˩kv̩˩ɲi˩wɤ˩|,o[UNK]˧ʈʂ[UNK]ɯ˧ʁo˥lɑ˩dʑo˩kv[UNK]˩mv˩
so˩kʰv̩˩hĩ˥ʈʂʰɯ˩dʑo˩|kʰv̩˧kʰv̩˧ʂɯ˥ʁɑ˩bi˩zo˩kv̩˩mæ˩|ʈʂʰɯ˧v̩˧ki˧|,so˩k[UNK]v[UNK]˩hi[UNK]˥ʈʂ[UNK]ɯ˧dʑo˩ k[UNK]v[UNK]˧q[UNK]v[UNK]˧ʂɯ˥ʁɑ˩bi˩zo˩kv[UNK]˩mæ˩ ʈʂ[UNK]ɯ˧v[UNK]˧ki˧
ə˧v̩˧˥|zo˩no˥|ɖɯ˧t|ʐv̩˩kv̩˩˥|le˧ʂɯ˧|,ə˧v[UNK]˧˥ zo˩no˥ ɖɯ˧tɑ˩ ʐv[UNK]˩kv[UNK]˩˥ le˧ʂɯ˧
tʰi˩˥|ɑ˩ʁo˧|ʑi˧mi˧ɖɯ˧ɭɯ˧hĩ˧ʈʂʰɯ˧dʑo˩|tʰi˩˥|ʈʂʰɯʈʂʰɯ˧ne˧gv̩˧ɲi˥mæ˩|,t[UNK]i˩˥ ɑ˩ʁo˧ ʑi˧mi˧ɖɯ˧ɭɯ˧hi[UNK]˧ʈʂ[UNK]ɯ˧dʑo˩ t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ ʈʂ[UNK]ɯ˧ne˧gv[UNK]˧ɲize˩mæ˩
ʈæ˧bɤ˧ʈʂʰɯ˧|,ʈæ˧bɤ˧ʈʂ[UNK]ɯ˧
ʈʂʰɯ˧dʑo˩|æ˧ʂæ˧|nɑ˩bv̩˥|zo˩no˥|ɖɯ˩lo˧ɲi˥mæ˩|,ʈʂ[UNK]ɯ˧dʑo˩ æ˧ʂæ˧ nɑ˩bv[UNK]˩˥ zo˩no˥ ɖɯ˩lo˧ɲi˥mæ˩
ĩ˧|so˧|ɖɯ˧æ˩tʰi˩qæ˩|,ə[UNK]so˧ ɖɯ˧æ˩t[UNK]i˩qæ˩
tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥dʑo˩|tʰi˩˥|ɖɯ˧ɲi˧ɻ̍˧dʑo˩|mv̩˩lɑ˥|zo˩no˥|mv̩˩ʈʂʰɯ˥|zo˩no˥|ɖɯ˧di˩ki˩ɲi˩tsɯ˩|mv̩˩|,t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥dʑo˩ t[UNK]i˩˥ ɖɯ˧ɲi˥ɻ[UNK]˩dʑo˩ mv[UNK]˩lɑ˥ zo˩no˥ mv[UNK]˩ʈʂ[UNK]ɯ˥ zo˩no˥ ɖɯ˧di˩ki˩ɲi˩tsɯ˩ mv[UNK]˩
ə˧mv̩˧ɳɯ˥|ʈʂʰɯ˧ne˧ʝi˥|pi˧ɲi˥tsɯ˩|mv̩˩,ə˧mv[UNK]˧ɳɯ˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ pi˧ɲi˥tsɯ˩ mv[UNK]˩
əəə…bv̩˧ʐv̩˧ʝi˧|æ̃˩so˥kʰv̩˩pi˩|mv̩˧bv̩˧mv̩˧gv̩˧ʑi˧˥|hwɤ˧so˧kʰv̩˥|pi˧|,əə[UNK]bv[UNK]˧ʐv[UNK]˧ʝi˧ æ[UNK]˩so˧k[UNK]v[UNK]˩pi˩ mv[UNK]˧bv[UNK]˧ mv[UNK]˧gv[UNK]˧ʑi˥ hwɤ˩˥ so˧k[UNK]v[UNK]˥ pi˩
tsʰæ˧pʰv̩˧˥|dʑo˩|dʑo˧mɤ˧kv̩˧˥|ə˧ʝi˧ʂɯ˥ʝi˩|v̩˩tsʰɤ˧tsʰɑ˧nɑ˥|,ts[UNK]æ˧p[UNK]v[UNK]˥dʑo˩ dʑo˧mɤ˧kv[UNK]˧˥ ə˧ʝi˧ʂɯ˥ʝi˩ v[UNK]˩ts[UNK]ɤ˧ts[UNK]ɤ˧nɑ˥
tɕɤ˧qʰɑ˧mo˩|kʰwɤ˧pʰv̩˧mo˧pi˥hĩ˩tʰv̩˩|kʰwɤ˧pʰv̩˧lɑ˧tɕɤ˧qʰɑ˧|tʰi˧di˥hĩ˩tʰv̩˩qo˩dʑo˩|mo˧ʈʂʰɯ˥|ɖɯ˧ʈɻ̍˩ɖɯ˩ʈɻ̍˩|ʈʂʰɯ˧ne˧ʝi˥|tʰi˧di˩kv̩˩mv̩˩|,tɕɤ˧q[UNK]ɑ˧mo˩ k[UNK]wɤ˧p[UNK]v[UNK]˧mo˧pi˥hi[UNK]˩ t[UNK]v[UNK]˩ k[UNK]wɤ˧p[UNK]v[UNK]˧lɑ˧tɕɤ˩q[UNK]ɑ˩t[UNK]i˧di˥hi[UNK]˩t[UNK]v[UNK]˧qo˧dʑo˧ mo˧ʈʂ[UNK]ɯ˥ ɖɯ˧ʈv[UNK]˩ɖʐv[UNK]˩ʈʂv[UNK]˩zo˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥t[UNK]i˧di˩kv[UNK]˩mæ˩
ɖwæ˧˥|so˩kv̩˩˥|,ɖwæ˧˥ so˩kv[UNK]˩˥
ʑi˧ʁæ˧dzi˧˥|ʑi˧ʁæ˧dzi˧pi˥|zo˩no˧ne˩ʝi˩zo˩|əəə…tʰɑ˧v̩˥|tʰææ̃˧mɤ˧di˥|,ʑi˧ʁæ˧dʑɯ˥ ʑi˧ʁæ˧dzɯ˧ pi˧ zo˩no˧ni˩zo˩ əə[UNK]t[UNK]ɑ˩v[UNK][UNK]˥ ʈ[UNK]ææ[UNK]˧ mɤ˧di˥
ɖɯ˧v̩˧|ɖɯ˧ɭɯ˧hwæ˥|le˧po˧jo˥kv̩˩mæ˩|,ɖɯ˧v[UNK]˧ɖɯ˧ɭɯ˧ hwæ˥ le˧po˧jo˥kv[UNK]˩mæ˩
tʰi˩˥|ə˧ʝi˧ʂɯ˥ʝi˩|se˧kʰɯ˩|ʁo˧ni˥|ʁo˧qʰwɤ˩ʂæ˩hĩ˩|,t[UNK]i˩˥ ə˧ʝi˧ʂɯ˥ʝi˩ se˧k[UNK]ɯ˩ ʁo˧ni˥ ʁo˧q[UNK]wɤ˩˩ʂæ˩ɲi˩
hæ˧so˩zo˩|ɖɯ˧ɬi˧mi˧|ɲi˧ɬi˧mi˧qo˧tʰv̩˧dʑo˥|dʑɯ˩ʁo˩˥|qʰwæ˩kɤ˩˥|qʰwæ˩kɤ˩ʈʂʰɯ˥|le˧hæ̃˧le˥po˩jo˩|mmm…v̩˩tsʰɤ˧lv̩˧bv̩˧|le˧gv̩˩|,hæ˧so˩zo˩ ɖɯ˧ɬi˧mi˧ ɲi˧ɬi˧mi˧qo˧t[UNK]v[UNK]˧dʑo˥ dʑɯ˩ʁo˩˥ q[UNK]wæ˩kɤ˩˥ q[UNK]wæ˩kɤ˩ʈʂ[UNK]ɯ˥ le˧hæ[UNK]˧le˥po˩jo˩ mm[UNK]v[UNK]˩ts[UNK]ɤ˧˥ lv[UNK]˧bv[UNK]˧ le˧gv[UNK]˩
ʑi˧mi˧tɕʰo˧kʰi˥ɲi˩|pi˧kv̩˩mæ˩|,ʑi˧mi˧tɕ[UNK]o˧k[UNK]i˥ɲi˩ pi˧kv[UNK]˩mæ˩
wɤ˩˥|sɑ˧|le˧ɲi˩|le˧ɲi˩|le˧ɲi˩|tʰi˩˥|ɣɯ˧|le˧dɑ˩|le˧dɑ˩|ho˧di˧tɕʰi˧bi˧kv̩˧˥|mæ˩|,wɤ˩˥ sɑ˧ le˧ɲi˩ le˧ɲi˩ le˧ɲi˩ t[UNK]i˩˥ ɣɯ˧ le˧dɑ˩˥ le˧dɑ˩ ho˧di˧tɕ[UNK]i˧bi˧kv[UNK]˧˥ mæ˩
zo˩no˥|ʈæ˧bɤ˧ki˥lɑ˩qʰæ˩ze˩|,zo˩no˥ ʈæ˧bɤ˧ki˥lɑ˩q[UNK]æ˩ze˩
wɤ˩˥|tʰi˧tɕɯ˥kv̩˩ze˩mæ˩|ʝi˧le˧lv̩˩|tʰi˧tɕɯ˥|,wɤ˩˥ t[UNK]i˧tɕɯ˥kv[UNK]˩ze˩mæ˩ ʝi˧ le˧lv[UNK]˩ t[UNK]i˧tɕɯ˥
æ˧ʂæ˧tɑ˩mv̩˩|ʈʂʰɯ˧ne˧ʝi˥|pi˧kv̩˩mæ˩|ɑ˩ʁo˧|mv̩˩zo˩ɻæ˩ɳɯ˥|le˧ʈʂæ˧|gɤ˩mɤ˧ʈi˩|,æ˧ʂæ˧tɑ˩mv[UNK]˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ pi˧kv[UNK]˩mæ˩ ɑ˩ʁo˧ mv[UNK]˩zo˩ɻæɳɯ˥ le˧ʈʂæ˧kɤ˧wɤ˥
gv̩˩pʰæ˩˥|ɲi˧tv̩˧pʰæ˧˥|so˧tv̩˧pʰæ˧˥|õ˧ʈʂʰɯ˧ne˧ʝi˥|le˧dɑ˧˥|dʑɯ˩ʁo˩˥|tʰi˧tɕɯ˥dʑo˩|tʰi˩˥|le˧po˧tsʰɯ˧˥|dʑo˩|tʰi˩˥|gv̩˩pʰæ˩˥|le˧|ɖɯ˧tv̩˧|ɲi˧tv̩˧|le˧po˧tsʰɯ˧˥|ɑ˩ʁo˧|mmm…tʰi˩˥|tʰi˧tɕɯ˥|,gv[UNK]˩p[UNK]æ˩˥ ɲi˧tv[UNK]˧p[UNK]æ˧˥ so˧tv[UNK]˧p[UNK]æ˧˥ o[UNK]˧ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧dɑ˧ dʑɯ˧ʁo˩˥ t[UNK]i˧tɕɯ˥dʑo˩ t[UNK]i˩˥ le˧po˧ts[UNK]ɯ˧˥ dʑo˩ t[UNK]i˩˥ gv[UNK]˩p[UNK]æ˧ le˧ɖɯ˧tv[UNK]˧ɲi˧tv[UNK]˧ le˧po˧ts[UNK]ɯ˧˥ ɑ˩ʁo˧ mm[UNK]t[UNK]i˩˥ t[UNK]i˧tɕɯ˥
ə˧lɑ˧ʁwɤ˧dzi˩kʰɯ˩dʑo˩|tʰi˩˥|mmm…sɯ˧pʰi˧|ə˧tso˧mɤ˧ɲi˩|sɯ˧pʰi˧ɳɯ˧|ə˧lɑ˧ʁwɤ˧dzi˩kʰɯ˩|tʰi˩˥|sɯ˧pʰi˧lo˧ʝi˧|,ə˧lɑ˧ʁwɤ˧ dzɯ˩˧k[UNK]ɯ˩dʑo˩ t[UNK]i˩˥ mm[UNK]sɯ˧p[UNK]i˧ ə˧tso˧mɤ˧ɲi˩ sɯ˧p[UNK]i˧ɳɯ˧ ə˧lɑ˧wɤ˩dzi˩k[UNK]ɯ˩ t[UNK]i˩˥ sɯ˧p[UNK]i˧lo˧ʝi˧
tʰi˩˥|õ˧bv̩˥õ˩|ɖʐo˧|qæ˧do˧tʰi˥di˩hĩ˩|tʰv̩˧kʰwɤ˧gɤ˥ʑi˩|,t[UNK]i˩˥ o[UNK]˧bv[UNK]˥o[UNK]˩ ɖʐo˧ qæ˧do˧ t[UNK]i˧di˩hi[UNK]˩ʈʂ[UNK]ɯ˧k[UNK]wɤ˧ gɤ˧ʑi˩
tʰi˩˥|kv̩˧|ʈʂʰɯ˧dʑo˩|mo˧bv̩˥|zo˩no˥|ʈʂʰæ˧ɣɯ˧ɲi˥|pi˧zo˩|ə˩gi˩|,t[UNK]i˩˥ kv[UNK]˧ʈʂ[UNK]ɯ˧dʑo˩ mo˧bv[UNK]˧ zo˩no˥ ʈʂ[UNK]æ˧ɣɯ˧ɲi˥ pi˧zo˩ ə˩gi˩
ʐo˩dzɯ˩˥|wɤ˩˥|ʐwæ˧tɕi˥|le˧pʰv̩˧˥|wɤ˩˥|ɖɯ˧ʂɯ˩dzɯ˩|wɤ˩˥|ʐwæ˧|ɖɯ˧lv̩˧˥|wɤ˩˥|ɖɯ˧ʂɯ˩ʈʂæ˩|,ʐo˩dzɯ˩˥ wɤ˩˥ ʐwæ˧tɕɯ˥ le˧p[UNK]v[UNK]˧˥ wɤ˩˥ ɖɯ˧ʂɯ˩dzɯ˩ wɤ˩˥ ʐwæ˧ ɖɯ˧lv[UNK]˧ɭ˥ wɤ˩˥ ɖɯ˧ʂɯ˩ʈʂæ˩
qʰv̩˧˥|dʑo˩|tʰi˩˥|mi˩zɯ˩˥|ɖɯ˧v̩˧dʑo˩tsɯ˩mv̩˩|,q[UNK]v[UNK]˩˥ dʑo˩ t[UNK]i˩˥ mi˩zɯ˥ ɖɯ˧v[UNK]˧dʑo˩tsɯ˩ mv[UNK]˩
tʰi˩˥|ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|ʝi˧bi˧di˧mɤ˧di˥|,t[UNK]i˩˥ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ ʝi˧bi˧di˧mɤ˧di˧
ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧kʰwɤ˧dʑo˧|gɯ˧ɳɯ˧|qʰæ˧dʑo˧|mɤ˧do˩|ə˩gi˩|,ʈʂ[UNK]ɯ˧ne˧ʝi˥ ɖɯ˧k[UNK]wɤ˧dʑo˧˥ gɤ˧ɳɯ˧ q[UNK]æ˧ti˧˥ mɤ˧do˩ ə˩gi˩
ə˧ʝi˧ʂɯ˥ʝi˩|ho˧di˧mɤ˧ɲi˩|ʂe˧ʈʂe˩|dʑo˧mɤ˧kv̩˧pʰæ˥di˩|ʂe˧ʈʂe˩hwæ˩|le˧po˧jo˥kv̩˩mæ˩|,ə˧ʝi˧ʂɯ˥ʝi˩ ho˧di˧mɤ˧ɲi˩ ʂe˧ʈʂ[UNK]ɯ˩ dʑo˧mɤ˧kv[UNK]˧p[UNK]æ˥di˩ ʂe˧ʈʂe˩ hwæ˩ le˧po˧jo˥kv[UNK]˩mæ˩
ʂe˧pʰæ˩|ɖɯ˧pʰæ˧˥|tʰi˧kʰɯ˧˥|,ʂe˧p[UNK]æ˩ ɖɯ˧p[UNK]æ˧t[UNK]i˥k[UNK]ɯ˩
gv̩˧wo˥,ə˧zɯ˩ɖɯ˩
kʰv̩˩mi˩tʰv̩˩v̩˩ɳɯ˥|hĩ˧|ɖɯ˧v̩˧tsɤ˧ɲi˥ze˩|tʰi˩˥|əəə…zo˩no˥|tsʰe˩so˩kʰv̩˩gv̩˩˥|kwɤ˩tɕɯ˩lɑ˩|hĩ˧|ɖɯ˧v̩˧tsɤ˧ɲi˥ze˩|,k[UNK]v[UNK]˩mi˩ʈʂ[UNK]ɯ˩v[UNK]˧ɳɯ˥ hi[UNK]˧ ɖɯ˧v[UNK]˧tsɤ˧ɲi˥ze˩ t[UNK]i˩˥ əəzo˩no˥ ts[UNK]e˩so˩k[UNK]v[UNK]˩gv[UNK]˩˥ kwɤ˩tɕɯ˩lɑ˩ hi[UNK]˧ɖɯ˧v[UNK]˧tsɤ˧ɲi˥ze˩
tʰi˩˥|ʈʂʰɯ˧|so˧bæ˧hĩ˧|ʈʂʰɯ˧dʑo˩|tsʰe˧ʝi˧dʑo˩|ʑi˧qʰwɤ˧dɑ˧tso˧ɲi˥|pi˧zo˩|gv̩˩ɬi˩mi˩qo˥ɳɯ˩|əəə…ɬi˩bi˩ʈʂʰɯ˥|le˧qwæ˧˥|wɤ˩˥|ɑ˩ʁo˧|lv̩˧qo˧|tʰi˧tv̩˧hĩ˧ʈʂʰɯ˧|gɤ˩qwæ˩˥|,t[UNK]i˩˥ ʈʂ[UNK]ɯ˧so˧bæ˧hi[UNK]˧ʈʂ[UNK]ɯ˧dʑo˩ ts[UNK]e˧ʑi˧q[UNK]wɤ˧dɑ˧tso˧ɲi˥ pi˧zo˩ gv[UNK]˩ɬi˩mi˩qo˥ɳɯ˩ ə[UNK]ɬi˩bi˩ʈʂ[UNK]ɯ˥ le˧qwæ˧˥ wɤ˩˥ ɑ˩ʁo˧ tlv[UNK]˧qo˧ t[UNK]i˧tv[UNK]˧hi[UNK]˧ʈʂ[UNK]ɯ˧ gæ˩qwæ˩˥
se˧kʰɯ˩|ʁo˧ni˥|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧bo˩|qʰɑ˧ʂæ˧gv̩˧|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧bo˩|,se˧k[UNK]ɯ˩ʁo˩ ɲi˧ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ɖɯ˧bo˩ q[UNK]ɑ˧ʂæ˧gv[UNK]˩ ʂ[UNK]ɯ˧ne˧ʝi˥ ɖɯ˧bo˩
kʰv̩˩mi˩ki˥dʑo˩|tʰi˩˥|pʰv̩˩ɖɯ˩ʝi˥zo˩kv̩˩|hĩ˧hĩ˧zɯ˧zɯ˥lɑ˩|kʰv̩˩zɯ˩zɯ˥pi˩|zo˩no˥|hĩ˧lɑ˩|kʰv̩˧dʑo˩|ɖɯ˧bæ˧lɑ˧ɲi˥|,k[UNK]v[UNK]˩mi˩ki˥dʑo˩ t[UNK]i˩˥ p[UNK]v[UNK]˩ɖɯ˧ʝi˥zo˩kv[UNK]˩ hi[UNK]˧ hi[UNK]˧ zɯ˧zɯ˧lɑ˩ k[UNK]v[UNK]˧zɯ˧zɯ˧pi˧ zo˩no˥ hi[UNK]˧lɑ˩ k[UNK]v[UNK]˧dʑo˥ ɖɯ˧bæ˧lɑ˧ɲi˥
tʰi˩˥|əəə…ə˧mi˧|ɖɯ˧do˩ki˩dʑo˩|tʰi˩˥|wɤ˩˥|ə˧mi˧|le˧tɕʰɯ˧˥|tɕɯ˩hɯ˩zo˩|,t[UNK]i˩˥ ə[UNK]ə˧mi˧ɖɯ˧do˩ɻ˩ko˩dʑo˩ t[UNK]i˩˥ wɤ˩˥ ə˧mi˧ le˧tɕ[UNK]ɯ˧tɕi˩hɯ˩zo˩
ʈʂʰɯ˧ne˧ʝi˥|ʁɑ˩mi˧|ɲi˧zo˧|njɤ˩ɭɯ˧lɑ˧|ʁo˧qʰwɤ˩dʑo˩|tʰi˧di˩zo˩|,ʈʂ[UNK]ɯ˧ne˧ʝi˥ ʁɑ˩mi˧ ɲi˧zo˧ njɤ˩ɭɯ˧lɑ˧ ʁo˧q[UNK]wɤ˩zo˩dʑo˩ t[UNK]i˧di˩zo˩
ɖɯ˧kʰv̩˧˥|ɲi˧kʰv̩˧˥|tsʰe˧kʰv̩˧gv̩˧ɲi˥ze˩mæ˩ə˩gi˩|,ɖɯ˧k[UNK]v[UNK]˩˥ ɲi˩k[UNK]v[UNK]˩˥ ts[UNK]e˩k[UNK]v[UNK]˩gv[UNK]˩ɲi˥ze˩mæ˩ ə˩gi˩
